True Values,Predictions,error,close,open,gap_open,day_of_week,week_of_year,month_of_year,Mar Up,Mar Down,Pred Up,Pred Down,Results
8034,8034.79075,-0.79075,8034,8026.5,11.05,1,24,6,1,0,1,0,1
11954.55,11968.44325,-13.89325,11954.55,11967.3,51.2,4,47,11,0,1,1,0,0
8164.35,8156.145,8.205,8164.35,8153.15,14.8,1,49,12,1,0,1,0,1
10307.6,10342.33225,-34.73225,10307.6,10332.7,103.25,3,48,11,0,1,1,0,0
18372.25,18437.40175,-65.15175,18372.25,18439.9,157.15,2,42,10,0,1,0,1,1
21440.05,21429.062,10.988,21440.05,21414.2,-63.05,3,3,1,1,0,1,0,1
11479.4,11479.2495,0.1505,11479.4,11463.65,-117.85,3,13,3,1,0,1,0,1
14218.45,14245.38525,-26.93525,14218.45,14219.15,-179.55,3,16,4,0,1,1,0,0
8785.6,8788.6165,-3.0165,8785.6,8796.35,-8.35,4,35,9,0,1,0,1,1
10076.6,10083.518,-6.918,10076.6,10063.25,42.65,3,30,7,1,0,1,0,1
8578.9,8608.97,-30.07,8578.9,8623.9,21.6,0,30,7,0,1,0,1,1
16119.6,16105.404,14.196,16119.6,16078,-288.9,2,10,3,1,0,1,0,1
8855.4,8808.13975,47.26025,8855.4,8831.4,22.7,0,8,2,1,0,0,1,0
11324.7,11375.7965,-51.0965,11324.7,11392.85,56.85,0,30,7,0,1,0,1,1
7419.6,7443.46775,-23.86775,7419.6,7411.45,-1.35,3,5,2,1,0,1,0,1
14833.85,14728.83425,105.01575,14833.85,14768.55,-38.75,1,12,3,1,0,0,1,0
8254.5,8243.238,11.262,8254.5,8240.3,-14.45,4,20,5,1,0,1,0,1
8869.9,8860.59275,9.30725,8869.9,8873.35,11.6,3,38,9,0,1,0,1,1
22232.9,22217.371,15.529,22232.9,22231.2,-75.55,2,19,5,1,0,0,1,0
8203.9,8186.15925,17.74075,8203.9,8200.8,4.45,2,1,1,1,0,0,1,0
10331.6,10352.7765,-21.1765,10331.6,10329.25,8,1,47,11,1,0,1,0,1
8048.1,7989.8005,58.2995,8048.1,8009.55,-116.85,0,41,10,1,0,0,1,0
10254.3,10249.312,4.988,10254.3,10271.3,41.5,4,10,3,0,1,0,1,1
10661.85,10674.67775,-12.82775,10661.85,10688.7,230.25,2,42,10,0,1,0,1,1
14997,15004.3255,-7.3255,14997,14977.95,14.8,4,9,3,1,0,1,0,1
14721.75,14724.453,-2.703,14721.75,14712.45,147.5,2,12,3,1,0,1,0,1
11348.65,11373.72975,-25.07975,11348.65,11378.55,84.25,1,37,9,0,1,0,1,1
8436.5,8434.46925,2.03075,8436.5,8439.2,84.55,2,28,7,0,1,0,1,1
10955.95,10938.74,17.21,10955.95,10944.25,189.4,4,51,12,1,0,0,1,0
